id,productTitle,content,category,labels
286305607516,OLAY玉兰油大红瓶面霜油皮清爽胜肽抗皱抗衰老补水保湿夏季官方 A,赠送的小样一打开就是空气霜吗，中间有白色盖子隔开吗,包装,8
294808561340,仁和药业冻干粉寡肽原液淡化收缩毛孔修护精华旗舰店官网正品男女,用这个能去雀斑吗,功效,0
339453825258,HFP寡肽精华3.0 祛痘护肤品去淡化产品祛痘印修护冻干粉原液男女,高中生可以用吗？,适⽤⼈群,1
246431143695,【预售】露得清a醇晚霜抗皱紧致修护肌肤乳 保湿滋润面霜淡化细纹,去细纹怎么样,功效,0
346954329642,春日来信三体锁鲜创研维C精华液CEF原型VC御氧焕亮双仓次抛,新手可以用吗,适⽤⼈群,1
287210402754,【时代少年团推荐】理肤泉duo乳精华祛痘祛黑头粉刺水杨酸焕肤,请问能和别的牌子的水乳一起用吗？在之前还是之后用呢，谢谢！,使用方法,2
307136094551,欧莱雅大红罐复颜面霜视黄醇抗皱日霜补水保湿淡化细纹提拉紧致,这个用着怎么样，可以吗,功效,0
318956140334,the ordinary10%烟酰胺精华原液+1%锌熬夜提亮收缩毛孔控油,里面是不是有很细小的类似粉底液颜色的东西呢,属性,4
311532265490,Haa虾青素双抗精华神经酰胺B5保湿玻色因熬夜精华液护肤A醇伴侣,眼部可以用吗,使用方法,2
295726820804,正品 YSL圣罗兰夜皇后精华 透亮更细嫩 彻夜修护熬夜肌细致毛孔,经常熬夜 男的能用吗？,适⽤⼈群,1
257387033104,韩熙贞素颜霜防蓝光懒人霜裸妆隔离遮瑕提亮身体学生男女正品面霜,用后需要洗脸吗,使用方法,2
301394647652,HFP寡肽精华3.0 祛痘护肤品去淡化产品祛痘印修护冻干粉原液男女,可以跟阿达帕林一起用吗,使用方法,2
374167855228,【99预售】润百颜白纱布面霜屏障调理修护保湿泛红补水华熙生物,请问混油皮可以用吗？,适⽤⼈群,1
357660372729,城野医生官方VC377美白淡斑精华液去黄淡化痘印提亮肤色面部精华,各位小仙女们这个白天可以用吗,使用方法,2
101877698890,HFP烟酰胺美白精华液原液 改善暗黄淡化痘印小白瓶提亮面部男女,修复红血丝有效果吗,功效,0
281124180425,溶斑油淡斑去斑祛斑霜美白淡化色斑神器祛黄褐斑雀斑老年斑女男士,美白效果怎么样？,功效,0
227129601887,薇诺娜极润保湿水盈霜50g 面霜补水保湿滋润男女学生敏感肌护肤品,你好请问下，夏天可以吗？会不会有点厚重？,使用感受/使用方法,5|2
282318926012,韩熙贞素颜霜防蓝光懒人霜裸妆隔离遮瑕提亮身体学生男女正品面霜,这个会闷豆吗,不良反应,6
93405926568,【99划算节】SK-II小灯泡美白精华护肤品精华液淡斑提亮skll sk2,日夜可用的吗？,使用方法,2
249235554944,自然堂雪松精华液肌肽烟酰胺收缩毛孔抗皱肌底液毛孔克星熟龄肌选,这个系列多大年龄用？,适⽤⼈群,1
294422857441,瓷雅多肽祛痘冻干粉祛痘印修护寡肽原液抗初老套盒官方旗舰店正品,效果怎么样,功效,0
380136116812,去红血丝维稳特护霜角质增厚修复皮肤屏障舒缓精华敏感肌脸部泛红,一瓶可以用多久,属性,4
300378534035,【立即抢购】欧莱雅小蜜罐轻盈版面霜玻色因保湿抗皱紧致抗老化,轻盈版效果怎么样，混油会很油吗,使用感受,5
301618914046,【超级品牌日】兰蔻极光精华水 混油皮控油平衡水油细腻毛孔精华,问问姐姐们 用了这个之后是上乳吗,使用方法,2
90756338512,欧莱雅复颜抗皱面霜晚霜A醇积雪草女补水保湿紧致淡化细纹抗皱,18用是不是太早了？,适⽤⼈群,1
235300364705,HFP肌肽原液 抗糖精华紧致细腻有光泽抗初老面部精华液男女,想问问这个原液是不是要避光？,使用方法,2
266673387664,自然堂亮透水光素颜霜懒人霜面霜日霜自然美颜肤色提亮保湿烟酰胺,亲们有提亮效果吗？,功效,0
374129948371,美白祛斑霜淡化色斑去黑色素淡斑祛黄褐斑雀斑补水护肤品面霜正品,有改善吗,功效,0
371040057584,美白祛斑霜淡化色斑去黑色素淡斑祛黄褐斑雀斑补水护肤品面霜正品,好用吗？,功效,0
363770196213,理肤泉B5修复霜100ml 保湿淡化印痕修护敏感肌积雪草面霜,"鼻子
鼻子",其他,3
332082501831,皮宝舒缓修护精华液15ml蓝精灵小蓝瓶修红肌肤屏障补水保湿受损,请问大家都是搭配什么一起用的？,使用方法,2
363570430647,curel珂润面霜40g*2敏感肌保湿补水滋润神经酰胺护理旗舰店正品,美女们有没有闷痘的,不良反应,6
361403468594,城野医生VC377美白淡斑精华液提亮肤色面部精华改善痘印淡斑温和,这个对淡化痘印有用吗？,功效,0
310971012827,DR.WU达尔肤杏仁酸精华6% 果酸去闭口粉刺控油收毛孔提亮肤色,能不能去胳膊肘子黑？,功效,0
352981125424,丽普司肽冻干粉套组 寡肽原液祛淡化痘印收缩毛孔旗舰店官网正品,好用吗 亲们 我想用来修复脸颊角质层 泛红 小效果好不好 实话说,功效,0
94590105701,【店铺直播专享】雅诗兰黛白金级花菁萃紧颜精华面霜柔润质地抗老,这款几岁用适合？,适⽤⼈群,1
321118006199,the ordinary10%烟酰胺精华原液+1%锌熬夜提亮收缩毛孔控油,烟酰胺能和杏仁酸一起用吗,属性/使用方法,4|2
351306731033,珀莱雅源力修护精华补水保湿肌底液原力舒缓泛红敏感修复屏障清爽,姐妹们，这个祛红有用吗,功效,0
98883769512,【99现货】修丽可CF日间精华 10%VC抗氧化抗初老美白淡斑早C,可以美白吗？,功效,0
219187883089,丽普司肽敏感肌寡肽冻干粉修护角质层增厚舒缓肌肤红血丝官方正品,亲们，这个对激素脸有作用么，有没有依赖性呢,功效/不良反应,0|6
225409440842,薇诺娜极润保湿水盈霜50g 面霜补水保湿滋润男女学生敏感肌护肤品,"你好麻烦问下，空调房保湿吗,？",功效,0
302703689524,HFP乳糖酸精华 收缩毛孔去黑头粉刺闭口修护毛孔粗大果酸原液男女,真的有用吗，能收缩毛孔吗,功效,0
239396789289,片仔癀面霜皇后牌珍珠膏提亮美白霜烟酰胺亮白补水保湿淡化暗沉霜,对痘痘有用吗？,功效,0
207704110173,OLAY玉兰油熬夜霜酵母烟酰胺面霜抗氧修护补水保湿紧致,洁面是皂基还是氨基酸啊,属性,4
218247241345,dm德国芭乐雅balea玻尿酸原液补水舒缓保湿精华 原液安瓶 6盒,这个一共有多少盒？（不是多少支）,属性,4
269737909814,寻荟记芦荟胶正品祛痘痘印膏补水保湿面霜女士男士专用官方旗舰店,买回来有胶水的味道，很浓,属性,4
341668460280,PURID朴理沁透莹泽精华露50ml 御氧 温和 净黄 面部精华,会像原型vc一样染色吗,不良反应,6
99239415512,【99现货】修丽可维生素B5保湿精华 透明质酸深层补水收缩毛孔,补水效果咋样,功效,0
349852648100,JohnJeff传明酸精华液面部精华去黄提亮肤色改善暗沉淡化痘印男女,请问这个可以跟春日来信的熬夜精华一起用吗,使用方法,2
90307394401,【自播限时秒杀】资生堂第三代红腰子精华修护 补水保湿去闭口,专柜赠品多还是天猫赠品多？,包装,8
275168976625,【99现货】修丽可维生素CE精华 修护抗初老紧致淡纹早C抗氧化,薄皮涂会刺激吗,使用感受,5
371326313585,【新品上市】丝塔芙四维面霜45ml 舒敏面霜 修护,混干敏皮，t区油，脸上会泛红，刺痛，用这个好还是适乐肤c霜啊,竞品对比,7
306112127160,薇诺娜柔润保湿霜面霜补水滋润男女舒缓修护敏感肌护肤品全身可用,这个要乳化用吗？,使用方法,2
347276638936,【99限时礼】娇韵诗黄金双萃精华50ml抗皱紧致淡纹维稳修护,月薪380可以用吗？,适⽤⼈群,1
380222299185,OLAY小白瓶淡斑玉兰油烟酰胺色淡林美白淡痘印补水面部精华液 A,能去黑色痘印吗,功效,0
369236024051,寻荟记芦荟胶正品官方旗舰店祛痘印凝胶膏补水保湿女男士专用面霜,14天军训厚敷需要多少克？,属性,4
91369347053,dm德国Balea芭乐雅玻尿酸高能面部精华液高补水保湿安瓶 4盒套组,是正品吗,其他,3
231178264524,丽普司肽敏感肌寡肽冻干粉修护角质层增厚舒缓肌肤红血丝官方正品,效果如何,功效,0
377748017408,自然堂弹嫩小V脸抗皱精华液99%咖啡因焕亮紧致肌肤提升脸部活力,这款油腻吗,使用感受,5
243730366332,【99划算节】雅顿粉胶夜间多效精华次抛A醇胶囊淡纹紧致约60粒,请问是不是先拍水，然后用粉胶，最后再用其他的护肤品,使用方法,2
344650998058,John Jeff1.325%油橄榄面部精华液改善泛红舒缓敏维稳肌肤退红,祛痘效果好吗,功效,0
218734209876,【99现货】修丽可维生素B5保湿精华 透明质酸深层补水收缩毛孔,"你们用着黏,糊不？",使用感受,5
346933661112,【99限时礼】娇韵诗沁润奇肌保湿面霜不死鸟密集补水 持久保湿,清爽的有酒精味吗,属性,4
313248918726,【官方正品】CHANEL 香奈儿山茶花润泽微精华乳霜 滋润保湿,集美们 这个面霜容易搓泥吗,使用感受,5
373490831936,谷雨稳白大精华淡斑淡化痘印美白精华液抗氧去黄提亮修护面部精华,我想知道淡化痘印有没有效果，用了一个月的小姐姐可以说一下吗,功效,0
381014127883,【肖战推荐】YSL圣罗兰玻色因精华直击细纹对抗初老 强韧肌肤,请问补水保湿效果好吗,功效,0
332234395881,【立即预定】Fresh馥蕾诗红茶酵母酵萃精华液 精华水,在精华液前面还要用爽肤水吗?,使用方法,2
275518473502,HFP烟酰胺美白精华液原液 改善暗黄淡化痘印小白瓶提亮面部男女,淡斑有效果吗？,功效,0
328334729279,薇诺娜高保湿修护面霜 水泵霜 干皮补水屏障舒缓国货护肤品男女,用完它可以直接上妆吗，冬天不太想涂粉底液,使用方法,2
369149882634,美白祛斑霜淡化色斑神器淡斑去斑祛黄褐斑雀斑非专用药男护肤正品,容量有多少呢？,属性,4
365950616925,烟酰胺面部美白补水精华提亮去黄改善暗沉肤色溶淡斑祛痘印精华液,去黄美白效果怎么样,功效,0
335650589070,欧莱雅复颜抗皱面霜晚霜A醇积雪草女补水保湿紧致淡化细纹抗皱,各位，用了之后会起皮长小疙瘩吗？不用了过个半个月就又好了,不良反应,6
362414505364,Haa虾青素双抗精华神经酰胺B5保湿玻色因熬夜精华液护肤A醇伴侣,精华用不完都是咋保存的..,其他,3
373890501371,珀莱雅紧致肌密弹力修护面霜提拉紧致补水滋润保湿面霜男女不油腻,请问这个面霜味道会很香吗？,属性,4
311278377964,【预售】露得清a醇精华乳抗老抗皱提拉紧致肌肤淡细纹富勒烯小V瓶,早c大家用的什么吖,其他,3
297861787608,Haa传明酸VC精华小奶瓶熊果苷色修护改善暗沉肌底液,有荧光增白剂成分?,属性,4
298900756284,【年度会员日】资生堂第三代红腰子精华紧致修护维稳补水保湿面部,是乳状的还是水状的,属性,4
381158866451,【全新升级】珀莱雅红宝石面霜2.0六胜肽深层补水保湿紧致抗初老,抗老？？18岁能用吗？看网上推荐说好用,功效/适⽤⼈群,0|1
323104400206,溶斑油淡斑去斑祛斑霜美白淡化色斑神器祛黄褐斑雀斑老年斑女男士,上班坐地铁吗,其他,3
257022457880,韩熙贞素颜霜防蓝光懒人霜裸妆隔离遮瑕提亮身体学生男女正品面霜,大家用了之后皮肤会变黄吗？,不良反应,6
370968068344,HFP寡肽精华3.0 祛痘护肤品去淡化产品祛痘印修护冻干粉原液男女,姐妹们，会不会爆痘，真的有效果吗,不良反应,6
325830360131,【99划算节】HR赫莲娜绿宝瓶精华舒缓小绿瓶补水保湿精华液护肤品,小样用起来有挺强烈的冰凉感，请问正装也有吗,使用感受,5
358319301588,美白祛斑霜去斑祛黄褐斑雀斑淡化色斑非专用药神器官方正品护肤男,效果怎么样，有副作用吗,不良反应,6
341772058202,PURID朴理沁透莹泽精华露50ml 御氧 温和 净黄 面部精华,没次一崩的量吗？,属性,4
332569815857,【20点开抢】科颜氏金盏花精华爆水霜补水保湿滋润面霜修护,请问各位小仙女收到正装的产地是哪里？,其他,3
93867691031,自然堂亮透水光素颜霜懒人霜面霜日霜自然美颜肤色提亮保湿烟酰胺,我是黄皮，用这个会很白吗，粉色的适合什么皮呢，小姐姐们,适⽤⼈群,1
375761178114,【直播间立即抢购】欧莱雅注白瓶逆时精华早C晚A美白A醇补水保湿,这个有用嘛,功效,0
252433263499,法国理肤泉B5多效舒缓修复面霜 淡化痘印修护敏感肌 40ml/100ml*2,可以每天用吗,使用方法,2
286965753128,HFP寡肽精华3.0 祛痘护肤品去淡化产品祛痘印修护冻干粉原液男女,去深色痘印有用吗,功效,0
255566025546,OLAY玉兰油大红瓶面霜胜肽抗皱抗衰老紧致补水保湿乳液旗舰店,会产生依赖吗,不良反应,6
93728328697,百雀羚水嫩倍现精华霜补水保湿滋润面霜护肤品旗舰店正品,油皮用会不会很油啊,使用感受,5
377812332794,【99预售】大水滴舒缓祛痘组合祛痘淡化红印修护屏障改善易痘肌,特舒精华的瓶子稍微大一些不,包装,8
311510380213,OLAY玉兰油抗糖小白瓶烟酰胺美白提亮补水保湿面部精华液,长毛嘛？,不良反应,6
297361202689,【大牌日现货礼遇】娇兰帝皇蜂姿修护复原蜜精华液60ml/50ml/30ml,真的有变化？？,功效,0
257149055686,寻荟记芦荟胶正品祛痘痘印膏补水保湿面霜女士男士专用官方旗舰店,使用脱毛膏后可以使这个吗，效果怎么样,功效/使用方法,0|2
252525865003,HFP乳糖酸精华 收缩毛孔去黑头粉刺闭口修护毛孔粗大果酸原液男女,赠品有什么,包装,8
298189169102,【99划算节】雅顿粉胶夜间多效精华次抛A醇胶囊淡纹紧致约60粒,粉胶是不是不适合干皮用啊,适⽤⼈群,1
343169424360,片仔癀牌珍珠臻白亮采焕肤膏30g美白保湿面霜淡斑改暗沉提亮肤色,是不是白鹿同款q a q,其他,3
354615741892,相宜本草四倍蚕丝光泽精华波波霜补水保湿嘭弹水润滋润精华面霜女,是四倍蚕丝的好用，还是八倍好用，本人大干皮,其他,3
315596107098,OLAY玉兰油大红瓶面霜油皮清爽胜肽抗皱抗衰老补水保湿夏季官方,搓泥吗美女们，化妆前可以用吗,使用感受/使用方法,5|2
209584867722,自然堂水润保湿霜补水保湿滋润面霜学生女护肤品正品官方旗舰店,是正品吗,其他,3
227276033031,【时代少年团推荐】理肤泉k乳祛痘粉刺黑头水杨酸收缩毛孔精华乳,质地是什么样子的，有没有小颗粒,属性,4
273535732005,【99划算节】雅顿粉胶夜间多效精华次抛A醇胶囊淡纹紧致30/60粒,有香味吗？,属性,4
320219820285,欧莱雅第三代黑精华紧致抗初老化精华液补水保湿抗皱面部肌底液,请问20岁可以用嘛？,适⽤⼈群,1
337370650147,薇诺娜柔润保湿霜面霜补水滋润男女舒缓修护敏感肌护肤品全身可用,姐妹们 这个怎么用啊 我怎么用起来粘粘的 好不好用啊,使用感受,5
313035765003,OLAY玉兰油抗糖小白瓶烟酰胺美白提亮补水保湿面部精华液 A,能缩小毛孔吗？,功效,0
369666883040,【肖战推荐】 YSL圣罗兰水盾面霜轻盈版油皮挚爱舒缓滋润淡化纹路,油皮适合这款吗？,适⽤⼈群,1
295767745181,自然堂凝时鲜颜美白淡斑小紫瓶精华露淡纹修护滋养润泽保湿烟酰胺,有用过过敏的吗？,不良反应,6
362243535934,妮维雅630淡斑焕白精华液淡化痘印淡斑提亮补水保湿VC精华30ml*2,想买给妈妈淡斑（50岁）会有效果吗？追评全都是谢谢蜜总，蜜总是谁啊…,适⽤⼈群,1
261816710442,【99划算节】兰蔻水份缘凝霜 舒缓清爽保湿面霜 细腻弹润官方正品,刚买没多久就怀孕了，请问怀孕了可以用吗？网上查最好别用，希望能得到专业的回答,适⽤⼈群,1
366582611269,DEVA1.5%水杨酸精华原液祛痘淡化痘印去闭口粉刺黑头控油毛孔正品,集美们黑头可以去掉吗，真的有好多黑头啊,功效,0
334489011318,春日来信VC精华液抗氧化提亮肤色原型维C,十六岁用会不会太刺激,适⽤⼈群,1
323910038509,【会员盛典】海蓝之谜浓缩修护精华露 紧致轮廓抗皱抗老修护,17岁用会不会太早了呀？,适⽤⼈群,1
324313445111,OLAY玉兰油多效修护面霜提亮抗皱抗衰老紧致补水保湿官方旗舰店,买过的亲，请问是不是真货哦,其他,3
90463642986,片仔癀牌仙泉凝水保湿精华液 补水保湿润泽锁水 细滑肌肤澎湃水润,有木有人觉得仙泉这款精华液的瓶子按压头很难按压出精华液？我一开始第一滴按了超久的,包装,8
346324643632,【99划算节】SK-II大红瓶面霜乳液抗皱紧致保湿护肤品skll sk2,各位小仙女们，新版真的没有老版好用吗？,功效,0
